mode,asset,slot_min,mom_win_min,threshold_pct,signals,trades,win_rate,pnl,sharpe,max_dd_pct,final_capital,avg_daily_pnl,trading_days
realistic,BTC,15,3,0.3,96,82,89.0,251.86,20.07,3.7,331.86,4.2688,59
realistic,BTC,15,3,0.4,42,40,95.0,140.04,19.23,4.1,220.04,5.0013,28
realistic,BTC,15,3,0.5,20,20,90.0,61.16,24.63,6.2,141.16,3.3977,18
realistic,BTC,15,5,0.05,1277,761,85.8,2194.89,19.6,5.7,2274.89,11.0296,199
realistic,BTC,15,5,0.08,977,631,87.0,1875.08,21.3,5.6,1955.08,10.2463,183
realistic,BTC,15,5,0.1,826,581,88.0,1764.55,21.18,17.9,1844.55,10.319,171
realistic,BTC,15,5,0.12,688,477,91.2,1589.33,20.21,4.5,1669.33,9.4603,168
realistic,BTC,15,5,0.15,507,400,90.2,1275.88,20.13,3.6,1355.88,8.1787,156
realistic,BTC,15,5,0.2,330,279,92.8,965.39,20.59,3.3,1045.39,7.4837,129
realistic,BTC,15,5,0.25,214,197,93.4,680.94,20.15,4.7,760.94,6.2471,109
realistic,BTC,15,5,0.3,142,132,91.7,430.09,19.9,3.8,510.09,5.3761,80
realistic,BTC,15,5,0.4,74,73,98.6,284.71,28.93,1.6,364.71,5.0842,56
realistic,BTC,15,5,0.5,37,37,91.9,121.01,31.27,5.4,201.01,3.7816,32
idealistic,ETH,5,1,0.05,32580,32098,78.6,889611.8,63.69,10.6,890611.8,4276.9798,208
idealistic,ETH,5,1,0.08,22388,22388,81.8,691450.8,43.16,12.8,692450.8,3324.2827,208
idealistic,ETH,5,1,0.1,17490,17490,83.7,573059.0,36.05,8.5,574059.0,2755.0913,208
idealistic,ETH,5,1,0.12,13880,13880,85.1,474408.0,31.05,8.5,475408.0,2280.8077,208
idealistic,ETH,5,1,0.15,10018,10018,86.9,360383.8,26.05,4.6,361383.8,1749.4359,206
idealistic,ETH,5,1,0.2,5949,5949,88.6,224095.9,21.5,4.6,225095.9,1109.3856,202
idealistic,ETH,5,1,0.25,3755,3755,90.4,148470.5,18.26,6.2,149470.5,749.851,198
idealistic,ETH,5,1,0.3,2520,2520,91.7,102832.0,16.77,7.1,103832.0,538.3874,191
